# Registry: Charleston Road Registry Inc.
# Script: Jpan
# Version: 2.0
# Effective Date: 17-04-2023
# URL: https://www.iana.org/domains/idn-tables/tables/google_jpan_2.0.txt
# Policy: https://www.registry.google/about/policies/domainabuse/
# Contact Name: CRR Tech
# Email address: crr-tech@google.com
# Telephone: +1 (650) 253-0000
#
# Code points requiring context rules
#
# Code point                        Description of rule/Reference
#
# U+002D                            Label must neither start nor end with U+002D. Label
#    HYPHEN-MINUS                   must not have U+002D in both third and fourth
#                                   position. RFC 5891 (sec 4.2.3.1)
#

U+002D                         # HYPHEN-MINUS
U+5BA6                         # G, H, J, KP, K, -, T, -, V, II
U+5BAE                         # G, H, J, KP, K, -, T, -, -, II
U+5BB0                         # G, H, J, KP, K, -, T, -, V, II
U+5BB3                         # G, H, J, KP, K, -, T, -, V, II
U+5BB4                         # G, H, J, KP, K, -, T, -, V, II
U+5BB5                         # G, H, J, KP, K, -, T, -, -, II
U+5BB6                         # G, H, J, KP, K, -, T, -, V, II
U+5BB8                         # G, H, J, KP, K, -, T, -, -, II
U+5BB9                         # G, H, J, KP, K, -, T, -, V, II
U+5BBF                         # G, H, J, KP, K, -, T, -, V, II
U+5BC2                         # G, H, J, KP, K, -, T, -, V, II
U+5BC4                         # G, H, J, KP, K, -, T, -, V, II
U+5BC5                         # G, H, J, KP, K, -, T, -, V, II
U+5BC6                         # G, H, J, KP, K, -, T, -, V, II
U+5BC9                         # G, -, J, --, -, -, -, -, -, --
U+5BD0                         # G, H, J, KP, K, -, T, -, V, II
U+5BD2                         # G, H, J, KP, K, -, T, -, V, II
U+5BD3                         # G, H, J, KP, K, -, T, -, V, II
U+5BD4                         # G, H, J, KP, K, -, T, -, V, II
U+5BDB                         # G, H, J, --, K, -, T, -, -, II
U+5BDD                         # G, -, J, --, -, -, T, -, -, II
U+5BDE                         # G, H, J, KP, K, -, T, -, V, II
U+5BDF                         # G, H, J, KP, K, -, T, -, V, II
U+5BE1                         # G, H, J, KP, K, -, T, -, V, II
U+5BE4                         # G, H, J, KP, K, -, T, -, -, II
U+5BE5                         # G, H, J, KP, K, -, T, -, V, II
U+5BE7                         # G, H, J, KP, K, -, T, -, -, II
U+5BE8                         # G, H, J, KP, K, -, T, -, V, II
U+5BE9                         # G, H, J, KP, K, -, T, -, V, II
U+5BEE                         # G, H, J, KP, K, -, T, -, -, II
U+5BF0                         # G, H, J, KP, K, -, T, -, -, II
U+5BF5                         # G, H, J, KP, K, -, T, -, V, II
U+5BF8                         # G, H, J, KP, K, -, T, -, V, II
U+5BFA                         # G, H, J, KP, K, -, T, -, -, II
U+5BFE                         # G, -, J, KP, K, -, T, -, -, II
U+5C01                         # G, H, J, KP, K, -, T, -, V, II
U+5C02                         # G, -, J, --, -, -, -, -, -, II
U+5C04                         # G, H, J, KP, K, -, T, -, V, II
U+5C06                         # G, -, J, KP, K, -, T, -, -, II
U+5C08                         # G, H, J, KP, K, -, T, -, V, II
U+5C09                         # G, H, J, KP, K, -, T, -, V, II
U+5C0A                         # G, H, J, KP, K, -, T, -, V, II
U+5C0B                         # G, H, J, KP, K, -, T, -, V, II
U+5C0D                         # G, H, J, KP, K, -, T, -, V, II
U+5C0E                         # G, H, J, KP, K, -, T, -, V, II
U+5C0F                         # G, H, J, KP, K, -, T, -, V, II
U+5C11                         # G, H, J, KP, K, -, T, -, V, II
U+5C13                         # G, H, J, --, K, -, T, -, -, --
U+5C16                         # G, H, J, KP, K, -, T, -, V, II
U+5C1A                         # G, H, J, --, -, -, T, -, V, II
U+5C20                         # G, H, J, KP, K, -, T, -, -, --
U+5C22                         # G, H, J, KP, K, -, T, -, -, II
U+5C24                         # G, H, J, KP, K, -, T, -, -, II
U+5C28                         # G, H, J, KP, K, -, T, -, -, II
U+5C31                         # G, H, J, KP, K, -, T, -, V, II
U+5C38                         # G, H, J, KP, K, -, T, -, V, II
U+5C39                         # G, H, J, KP, K, -, T, -, V, II
U+5C3A                         # G, H, J, KP, K, -, T, -, V, II
U+5C3B                         # G, H, J, KP, K, -, T, -, -, II
U+5C3C                         # G, H, J, KP, K, -, T, -, V, II
U+5C3E                         # G, H, J, KP, K, -, T, -, V, II
U+5C3F                         # G, H, J, KP, K, -, T, -, -, II
U+5C40                         # G, H, J, KP, K, -, T, -, V, II
U+5C41                         # G, H, J, KP, K, -, T, -, -, II
U+5C45                         # G, H, J, KP, K, -, T, -, V, II
U+5C46                         # G, H, J, KP, K, -, T, -, -, II
U+5C48                         # G, H, J, KP, K, -, T, -, V, II
U+5C4B                         # G, H, J, KP, K, -, T, -, V, II
U+5C4E                         # G, H, J, KP, K, -, T, -, -, II
U+5C4F                         # G, H, J, KP, K, -, T, -, V, II
U+5C50                         # G, H, J, KP, K, -, T, -, -, II
U+5C51                         # G, H, J, KP, K, -, T, -, -, II
U+5C53                         # G, H, J, KP, K, -, T, -, -, II
U+5C55                         # G, H, J, KP, K, -, T, -, V, II
U+5C5E                         # G, H, J, --, K, -, T, -, -, II
U+5C60                         # G, H, J, KP, K, -, T, -, V, II
U+5C61                         # G, -, J, --, K, -, T, -, -, II
U+5C64                         # G, H, J, KP, K, -, T, -, V, II
U+5C65                         # G, H, J, KP, K, -, T, -, V, II
U+5C6E                         # G, H, J, KP, K, -, T, -, -, --
U+5C6F                         # G, H, J, KP, K, -, T, -, V, II
U+5C71                         # G, H, J, KP, K, -, T, -, V, II
U+5C76                         # G, -, J, --, -, -, -, -, -, --
U+5C79                         # G, H, J, KP, K, -, T, -, V, II
U+5C8C                         # G, H, J, KP, K, -, T, -, V, II
U+5C90                         # G, H, J, KP, K, -, T, -, -, II
U+5C91                         # G, H, J, KP, K, -, T, -, V, II
U+5C94                         # G, H, J, KP, K, -, T, -, -, II
U+5CA1                         # G, H, J, KP, K, -, T, -, -, II
U+5CA8                         # G, H, J, KP, K, -, T, -, -, II
U+5CA9                         # G, H, J, KP, K, -, T, -, V, II
U+5CAB                         # G, H, J, KP, K, -, T, -, -, II
U+5CAC                         # G, H, J, KP, K, -, T, -, -, II
U+5CB1                         # G, H, J, KP, K, -, T, -, V, II
U+5CB3                         # G, H, J, KP, K, -, T, -, -, II
U+5CB6                         # G, H, J, --, K, -, T, -, -, --
U+5CB7                         # G, H, J, KP, K, -, T, -, -, II
U+5CB8                         # G, H, J, KP, K, -, T, -, V, II
U+5CBB                         # G, -, J, --, K, -, T, -, -, --
U+5CBC                         # G, -, J, --, -, -, -, -, -, --
U+5CBE                         # G, -, J, KP, K, -, -, -, -, II
U+5CC5                         # G, -, J, --, -, -, -, -, -, II
U+5CC7                         # G, H, J, KP, K, -, T, -, -, II
U+5CD9                         # G, H, J, KP, K, -, T, -, -, II
U+5CE0                         # G, -, J, KP, K, -, -, -, -, II
U+5CE1                         # G, -, J, KP, -, -, T, -, -, II
U+5CE8                         # G, H, J, KP, K, -, T, -, -, II
U+5CEA                         # G, H, J, KP, K, -, T, -, -, II
U+5CED                         # G, H, J, KP, K, -, T, -, -, II
U+5CEF                         # G, H, J, KP, K, -, T, -, -, II
U+5CF6                         # G, H, J, KP, K, -, T, -, V, II
U+5CFA                         # G, -, J, --, K, -, T, -, -, --
U+5CFB                         # G, H, J, KP, K, -, T, -, -, II
U+5D07                         # G, H, J, KP, K, -, T, -, V, II
U+5D0B                         # G, H, J, KP, K, -, T, -, -, II
U+5D11                         # G, H, J, KP, K, -, T, -, V, II
U+5D14                         # G, H, J, KP, K, -, T, -, V, II
U+5D15                         # G, H, J, --, K, -, T, -, -, --
U+5D1A                         # G, H, J, KP, K, -, T, -, -, II
U+5D1B                         # G, H, J, KP, K, -, T, -, -, II
U+5D1F                         # G, H, J, KP, K, -, T, -, -, II
U+5D22                         # G, H, J, KP, K, -, T, -, V, II
U+5D29                         # G, H, J, KP, K, -, T, -, V, II
U+5D4B                         # G, H, J, KP, K, -, T, -, V, II
U+5D4C                         # G, H, J, KP, K, -, T, -, V, II
U+5D4E                         # G, H, J, KP, K, -, T, -, V, II
U+5D50                         # G, H, J, KP, K, -, T, -, -, II
U+5D5C                         # G, -, J, --, -, -, -, -, -, II
U+5D69                         # G, H, J, KP, K, -, T, -, V, II
U+5D6C                         # G, H, J, KP, K, -, T, -, V, II
U+5D6F                         # G, H, J, KP, K, -, T, -, -, II
U+5D76                         # G, -, J, --, -, -, -, -, -, --
U+5D82                         # G, H, J, KP, K, -, T, -, -, II
U+5D84                         # G, H, J, KP, K, -, T, -, V, II
U+5D87                         # G, H, J, KP, K, -, T, -, -, II
U+5D90                         # G, -, J, --, K, -, T, -, -, --
U+5D9D                         # G, H, J, KP, K, -, T, -, -, II
U+5DA2                         # G, H, J, KP, K, -, T, -, V, II
U+5DAC                         # G, H, J, KP, K, -, T, -, -, --
U+5DAE                         # G, H, J, KP, K, -, T, -, -, II
U+5DB7                         # G, H, J, KP, K, -, T, -, -, II
U+5DBA                         # G, H, J, KP, K, -, T, -, -, II
U+5DBC                         # G, H, J, KP, K, -, T, -, -, II
U+5DC9                         # G, H, J, KP, K, -, T, -, -, II
U+5DCD                         # G, H, J, KP, K, -, T, -, V, II
U+5DD2                         # G, H, J, KP, K, -, T, -, -, II
U+5DD3                         # G, -, J, KP, K, -, T, -, -, --
U+5DDB                         # G, H, J, KP, K, -, T, -, -, --
U+5DDD                         # G, H, J, KP, K, -, T, -, V, II
U+5DDE                         # G, H, J, KP, K, -, T, -, V, II
U+5DE1                         # G, H, J, KP, K, -, T, -, V, II
U+5DE3                         # G, -, J, --, -, -, T, -, -, II
U+5DE6                         # G, H, J, KP, K, -, T, -, V, II
U+5DE7                         # G, H, J, KP, K, -, T, -, V, II
U+5DE8                         # G, H, J, KP, K, -, T, -, -, II
U+5DEB                         # G, H, J, KP, K, -, T, -, -, II
U+5DEE                         # G, H, J, KP, K, -, T, -, V, II
U+5DF1                         # G, H, J, KP, K, -, T, -, V, II
U+5DF2                         # G, H, J, KP, K, -, T, -, V, II
U+5DF3                         # G, H, J, KP, K, -, T, -, V, II
U+5DF4                         # G, H, J, KP, K, -, T, -, V, II
U+5DF7                         # G, H, J, KP, K, -, T, -, -, II
U+5DFD                         # G, H, J, KP, K, -, T, -, V, II
U+5DFE                         # G, H, J, KP, K, -, T, -, V, II
U+5E02                         # G, H, J, KP, K, -, T, -, V, II
U+5E03                         # G, H, J, KP, K, -, T, -, V, II
U+5E06                         # G, H, J, KP, K, -, T, -, V, II
U+5E0B                         # G, H, J, KP, K, -, T, -, -, --
U+5E0C                         # G, H, J, KP, K, -, T, -, V, II
U+5E11                         # G, H, J, KP, K, -, T, -, V, II
U+5E16                         # G, H, J, KP, K, -, T, -, V, II
U+5E19                         # G, H, J, KP, K, -, T, -, V, II
U+5E1A                         # G, H, J, KP, K, -, T, -, -, II
U+5E1B                         # G, H, J, KP, K, -, T, -, V, II
U+5E1D                         # G, H, J, KP, K, -, T, -, V, II
U+5E25                         # G, H, J, KP, K, -, T, -, V, II
U+5E2B                         # G, H, J, KP, K, -, T, -, V, II
U+5E2D                         # G, H, J, KP, K, -, T, -, V, II
U+5E2F                         # G, -, J, KP, -, -, T, -, -, II
U+5E30                         # G, -, J, KP, K, -, T, -, -, II
U+5E33                         # G, H, J, KP, K, -, T, -, V, II
U+5E37                         # G, H, J, KP, K, -, T, -, -, II
U+5E38                         # G, H, J, KP, K, -, T, -, V, II
U+5E3D                         # G, H, J, KP, K, -, T, -, V, II
U+5E40                         # G, H, J, KP, K, -, T, -, V, II
U+5E43                         # G, H, J, KP, K, -, T, -, -, II
U+5E44                         # G, H, J, KP, K, -, T, -, -, II
U+5E45                         # G, H, J, KP, K, -, T, -, V, II
U+5E47                         # G, -, J, KP, K, -, T, -, -, II
U+5E4C                         # G, H, J, KP, K, -, T, -, -, II
U+5E4E                         # G, H, J, KP, K, -, T, -, -, --
U+5E54                         # G, H, J, KP, K, -, T, -, V, II
U+5E55                         # G, H, J, KP, K, -, T, -, -, II
U+5E57                         # G, H, J, KP, K, -, T, -, V, II
U+5E5F                         # G, H, J, KP, K, -, T, -, V, II
U+5E61                         # G, H, J, KP, K, -, T, -, V, II
U+5E62                         # G, H, J, KP, K, -, T, -, V, II
U+5E63                         # G, H, J, KP, K, -, T, -, V, II
U+5E73                         # G, H, J, KP, K, -, T, -, V, II
U+5E74                         # G, H, J, KP, K, -, T, -, V, II
U+5E75                         # G, H, J, KP, -, -, T, -, -, --
U+5E7A                         # G, H, J, KP, K, -, T, -, -, II
U+5E7B                         # G, H, J, KP, K, -, T, -, V, II
U+5E7C                         # G, H, J, KP, K, -, T, -, V, II
U+5E7D                         # G, H, J, KP, K, -, T, -, V, II
U+5E7F                         # G, H, J, KP, K, -, T, -, -, II
U+5E81                         # G, -, J, --, K, -, T, -, -, II
U+5E84                         # G, H, J, KP, K, -, T, -, V, II
U+5E87                         # G, H, J, KP, K, -, T, -, -, II
U+5E8A                         # G, H, J, KP, K, -, T, -, V, II
U+5E8F                         # G, H, J, KP, K, -, T, -, V, II
U+5E95                         # G, H, J, KP, K, -, T, -, V, II
U+5E96                         # G, H, J, KP, K, -, T, -, -, II
U+5E97                         # G, H, J, KP, K, -, T, -, V, II
U+5E9A                         # G, H, J, KP, K, -, T, -, V, II
U+5E9C                         # G, H, J, KP, K, -, T, -, V, II
U+5EA0                         # G, H, J, KP, K, -, T, -, V, II
U+5EA6                         # G, H, J, KP, K, -, T, -, V, II
U+5EAB                         # G, H, J, KP, K, -, T, -, V, II
U+5EAD                         # G, H, J, KP, K, -, T, -, V, II
U+5EB5                         # G, H, J, KP, K, -, T, -, V, II
U+5EB6                         # G, H, J, KP, K, -, T, -, V, II
U+5EB7                         # G, H, J, KP, K, -, T, -, V, II
U+5EB8                         # G, H, J, KP, K, -, T, -, V, II
U+5EC2                         # G, H, J, KP, K, -, T, -, V, II
U+5EC3                         # G, -, J, --, K, -, T, -, -, II
U+5EC9                         # G, H, J, KP, K, -, T, -, V, II
U+5ECA                         # G, H, J, KP, K, -, T, -, V, II
U+5ED3                         # G, H, J, KP, K, -, T, -, V, II
U+5ED6                         # G, H, J, KP, K, -, T, -, V, II
U+5EDB                         # G, H, J, KP, K, -, T, -, V, II
U+5EDF                         # G, H, J, KP, K, -, T, -, V, II
U+5EE1                         # G, H, J, KP, K, -, T, -, V, II
U+5EE8                         # G, H, J, KP, K, -, T, -, -, II
U+5EE9                         # G, H, J, KP, K, -, T, -, V, --
U+5EEC                         # G, H, J, KP, K, -, T, -, -, II
U+5EF1                         # G, H, J, KP, K, -, T, -, -, --
U+5EF4                         # G, H, J, KP, K, -, T, -, -, --
U+5EF6                         # G, H, J, KP, K, -, T, -, V, II
U+5EF7                         # G, H, J, KP, K, -, T, -, V, II
U+5EF8                         # G, H, J, --, K, -, T, -, -, --
U+5EFA                         # G, H, J, KP, K, -, T, -, V, II
U+5EFE                         # G, H, J, KP, K, -, T, -, V, II
U+5EFF                         # G, H, J, KP, K, -, T, -, -, II
U+5F01                         # G, H, J, KP, K, -, T, -, -, II
U+5F03                         # G, -, J, KP, K, -, T, -, -, II
U+5F04                         # G, H, J, KP, K, -, T, -, V, II
U+5F0A                         # G, H, J, KP, K, -, T, -, V, II
U+5F0B                         # G, H, J, KP, K, -, T, -, V, II
U+5F0F                         # G, H, J, KP, K, -, T, -, V, II
U+5F10                         # G, -, J, --, K, -, T, -, -, II
U+5F11                         # G, -, J, KP, K, -, T, -, V, II
U+5F13                         # G, H, J, KP, K, -, T, -, V, II
U+5F15                         # G, H, J, KP, K, -, T, -, V, II
U+5F16                         # G, -, J, --, -, -, -, -, -, --
U+5F17                         # G, H, J, KP, K, -, T, -, V, II
U+5F18                         # G, H, J, KP, K, -, T, -, -, II
U+5F1B                         # G, H, J, KP, K, -, T, -, -, II
U+5F1F                         # G, H, J, KP, K, -, T, -, V, II
U+5F25                         # G, H, J, KP, K, -, T, -, -, II
U+5F26                         # G, H, J, KP, K, -, T, -, V, II
U+5F27                         # G, H, J, KP, K, -, T, -, -, II
U+5F29                         # G, H, J, KP, K, -, T, -, V, II
U+5F2D                         # G, H, J, KP, K, -, T, -, V, II
U+5F2F                         # G, -, J, --, K, -, T, -, -, II
U+5F31                         # G, H, J, KP, K, -, T, -, V, II
U+5F35                         # G, H, J, KP, K, -, T, -, V, II
U+5F37                         # G, H, J, KP, K, -, T, -, V, II
U+5F38                         # G, H, J, KP, K, -, T, -, -, --
U+5F3C                         # G, H, J, KP, K, -, T, -, V, II
U+5F3E                         # G, -, J, KP, K, -, T, -, -, II
U+5F41                         # G, -, J, --, -, -, T, -, -, --
U+5F51                         # G, H, J, KP, K, -, T, -, -, --
U+5F53                         # G, -, J, KP, K, -, T, -, -, II
U+5F56                         # G, H, J, KP, K, -, T, -, -, II
U+5F57                         # G, H, J, KP, K, -, T, -, V, II
U+5F5C                         # G, H, J, KP, K, -, T, -, -, --
U+5F61                         # G, H, J, KP, K, -, T, -, -, --
U+5F62                         # G, H, J, KP, K, -, T, -, V, II
U+5F66                         # G, -, J, KP, K, -, T, -, -, II
U+5F69                         # G, H, J, KP, K, -, T, -, V, II
U+5F6A                         # G, H, J, KP, K, -, T, -, -, II
U+5F6B                         # G, H, J, KP, K, -, T, -, V, II
U+5F6C                         # G, H, J, KP, K, -, T, -, V, II
U+5F6D                         # G, H, J, KP, K, -, T, -, V, II
U+5F70                         # G, H, J, KP, K, -, T, -, -, II
U+5F71                         # G, H, J, KP, K, -, T, -, V, II
U+5F73                         # G, H, J, KP, K, -, T, -, -, II
U+5F79                         # G, H, J, KP, K, -, T, -, V, II
U+5F7C                         # G, H, J, KP, K, -, T, -, V, II
U+5F7F                         # G, H, J, KP, K, -, T, -, V, II
U+5F80                         # G, H, J, KP, K, -, T, -, V, II
U+5F81                         # G, H, J, KP, K, -, T, -, V, II
U+5F82                         # G, H, J, KP, K, -, T, -, V, II
U+5F84                         # G, -, J, KP, K, -, T, -, -, II
U+5F85                         # G, H, J, KP, K, -, T, -, V, II
U+5F87                         # G, H, J, KP, K, -, T, -, -, II
U+5F88                         # G, H, J, KP, K, -, T, -, -, II
U+5F8A                         # G, H, J, KP, K, -, T, -, V, II
U+5F8B                         # G, H, J, KP, K, -, T, -, V, II
U+5F90                         # G, H, J, KP, K, -, T, -, V, II
U+5F92                         # G, H, J, KP, K, -, T, -, V, II
U+5F97                         # G, H, J, KP, K, -, T, -, V, II
U+5F98                         # G, H, J, KP, K, -, T, -, V, II
U+5F99                         # G, H, J, KP, K, -, T, -, -, II
U+5FA0                         # G, H, J, KP, K, -, T, -, V, II
U+5FA1                         # G, H, J, KP, K, -, T, -, V, II
U+5FA8                         # G, H, J, KP, K, -, T, -, V, II
U+5FA9                         # G, H, J, KP, K, -, T, -, V, II
U+5FAA                         # G, H, J, KP, K, -, T, -, -, II
U+5FAD                         # G, H, J, KP, K, -, T, -, -, II
U+5FAE                         # G, H, J, KP, K, -, T, -, V, II
U+5FB3                         # G, -, J, --, -, -, T, -, -, II
U+5FB9                         # G, H, J, KP, K, -, T, -, V, II
U+5FBC                         # G, H, J, KP, K, -, T, -, -, --
U+5FBD                         # G, H, J, KP, K, -, T, -, -, II
U+5FC3                         # G, H, J, KP, K, -, T, -, V, II
U+5FC5                         # G, H, J, KP, K, -, T, -, V, II
U+5FCC                         # G, H, J, KP, K, -, T, -, V, II
U+5FCD                         # G, H, J, KP, K, -, T, -, V, II
U+5FD6                         # G, H, J, KP, K, -, T, -, V, II
U+5FD7                         # G, H, J, KP, K, -, T, -, V, II
U+5FD8                         # G, H, J, KP, K, -, T, -, V, II
U+5FD9                         # G, H, J, KP, K, -, T, -, V, II
U+5FDC                         # G, -, J, --, K, -, T, -, -, II
U+5FDD                         # G, H, J, KP, K, -, T, -, V, II
U+5FE0                         # G, H, J, KP, K, -, T, -, V, II
U+5FE4                         # G, H, J, KP, K, -, T, -, V, II
U+5FEB                         # G, H, J, KP, K, -, T, -, V, II
U+5FF0                         # G, -, J, KP, K, -, T, -, -, II
U+5FF1                         # G, H, J, KP, K, -, T, -, V, II
U+5FF8                         # G, H, J, KP, K, -, T, -, V, II
U+5FFB                         # G, H, J, KP, K, -, T, -, -, II
U+5FFD                         # G, H, J, KP, K, -, T, -, V, II
U+5FFF                         # G, H, J, KP, K, -, T, -, V, II
U+600E                         # G, H, J, KP, K, -, T, -, V, II
U+600F                         # G, H, J, KP, K, -, T, -, -, II
U+6012                         # G, H, J, KP, K, -, T, -, V, II
U+6015                         # G, H, J, KP, K, -, T, -, -, II
U+6016                         # G, H, J, KP, K, -, T, -, V, II
U+6019                         # G, H, J, KP, K, -, T, -, -, II
U+601B                         # G, H, J, KP, K, -, T, -, V, II
U+601C                         # G, H, J, KP, K, -, T, -, V, II
U+601D                         # G, H, J, KP, K, -, T, -, V, II
U+6020                         # G, H, J, KP, K, -, T, -, -, II
U+6021                         # G, H, J, KP, K, -, T, -, -, II
U+6025                         # G, H, J, KP, K, -, T, -, V, II
U+6026                         # G, H, J, KP, K, -, T, -, V, II
U+6027                         # G, H, J, KP, K, -, T, -, V, II
U+6028                         # G, H, J, KP, K, -, T, -, V, II
U+6029                         # G, H, J, KP, K, -, T, -, V, II
U+602A                         # G, H, J, KP, K, -, T, -, V, II
U+602B                         # G, H, J, KP, K, -, T, -, V, II
U+602F                         # G, H, J, KP, K, -, T, -, V, II
U+603A                         # G, -, J, --, K, -, -, -, -, --
U+6041                         # G, H, J, KP, K, -, T, -, V, II
U+6042                         # G, H, J, KP, K, -, T, -, -, II
U+6043                         # G, H, J, KP, K, -, T, -, -, II
U+6046                         # G, H, J, KP, K, -, T, -, -, II
U+604B                         # G, -, J, KP, K, -, T, -, V, II
U+604D                         # G, H, J, KP, K, -, T, -, V, II
U+6050                         # G, H, J, KP, K, -, T, -, V, II
U+6055                         # G, H, J, KP, K, -, T, -, V, II
U+6059                         # G, H, J, KP, K, -, T, -, -, II
U+605A                         # G, H, J, KP, K, -, T, -, -, II
U+605F                         # G, H, J, KP, K, -, T, -, V, --
U+6062                         # G, H, J, KP, K, -, T, -, V, II
U+6063                         # G, H, J, KP, K, -, T, -, -, II
U+6064                         # G, H, J, KP, K, -, T, -, -, II
U+6065                         # G, H, J, KP, K, -, T, -, V, II
U+6068                         # G, H, J, KP, K, -, T, -, V, II
U+6069                         # G, H, J, KP, K, -, T, -, V, II
U+606A                         # G, H, J, KP, K, -, T, -, V, II
U+606B                         # G, H, J, KP, K, -, T, -, -, II
U+606C                         # G, H, J, KP, K, -, T, -, V, II
U+606D                         # G, H, J, KP, K, -, T, -, V, II
U+606F                         # G, H, J, KP, K, -, T, -, V, II
U+6070                         # G, H, J, KP, K, -, T, -, -, II
U+6075                         # G, H, J, KP, -, -, T, -, -, II
U+6077                         # G, H, J, --, -, -, -, -, -, --
U+6081                         # G, H, J, KP, K, -, T, -, V, --
U+6083                         # G, H, J, KP, K, -, T, -, -, --
U+6084                         # G, H, J, KP, K, -, T, -, V, II
U+6089                         # G, H, J, KP, K, -, T, -, V, II
U+608C                         # G, H, J, KP, K, -, T, -, V, II
U+608D                         # G, H, J, KP, K, -, T, -, V, II
U+6092                         # G, H, J, KP, K, -, T, -, -, --
U+6094                         # G, H, J, KP, K, -, T, -, V, II
U+6096                         # G, H, J, KP, K, -, T, -, V, II
U+6097                         # G, H, J, KP, K, -, T, -, V, --
U+609A                         # G, H, J, KP, K, -, T, -, -, II
U+609F                         # G, H, J, KP, K, -, T, -, V, II
U+60A0                         # G, H, J, KP, K, -, T, -, -, II
U+60A3                         # G, H, J, KP, K, -, T, -, V, II
U+60A6                         # G, -, J, --, -, -, T, -, -, II
U+60A7                         # G, H, J, KP, K, -, T, -, V, II
U+60A9                         # G, -, J, KP, K, -, T, -, -, II
U+60AA                         # G, -, J, KP, K, -, T, -, -, II
U+60B2                         # G, H, J, KP, K, -, T, -, V, II
U+60B5                         # G, H, J, KP, K, -, T, -, -, II
U+60B6                         # G, H, J, KP, K, -, T, -, V, II
U+60B8                         # G, H, J, KP, K, -, T, -, -, II
U+60BC                         # G, H, J, KP, K, -, T, -, V, II
U+60C5                         # G, H, J, KP, K, -, T, -, V, II
U+60C6                         # G, H, J, KP, K, -, T, -, -, II
U+60C7                         # G, H, J, KP, K, -, T, -, V, II
U+60D1                         # G, H, J, KP, K, -, T, -, V, II
U+60D3                         # G, H, J, KP, K, -, T, -, -, --
U+60D8                         # G, H, J, KP, K, -, T, -, -, II
U+60DA                         # G, H, J, KP, K, -, T, -, V, II
U+60DC                         # G, H, J, KP, K, -, T, -, V, II
U+60DF                         # G, H, J, KP, K, -, T, -, V, II
U+60E3                         # G, H, J, --, K, -, T, -, -, II
U+60E7                         # G, H, J, KP, K, -, T, -, -, II
U+60E8                         # G, H, J, KP, K, -, T, -, -, II
U+60F0                         # G, H, J, KP, K, -, T, -, V, II
U+60F1                         # G, H, J, KP, K, -, T, -, V, II
U+60F3                         # G, H, J, KP, K, -, T, -, V, II
U+60F4                         # G, H, J, KP, K, -, T, -, V, II
U+60F6                         # G, H, J, KP, K, -, T, -, V, II
U+60F7                         # G, H, J, KP, K, -, T, -, V, --
U+60F9                         # G, H, J, KP, K, -, T, -, -, II
U+60FA                         # G, H, J, KP, K, -, T, -, -, II
U+60FB                         # G, H, J, KP, K, -, T, -, V, II
U+6100                         # G, H, J, KP, K, -, T, -, V, II
U+6101                         # G, H, J, KP, K, -, T, -, V, II
U+6103                         # G, H, J, KP, K, -, T, -, -, II
U+6106                         # G, H, J, KP, K, -, T, -, V, II
U+6108                         # G, H, J, KP, K, -, T, -, V, II
U+6109                         # G, H, J, KP, K, -, T, -, -, II
U+610D                         # G, H, J, KP, K, -, T, -, V, II
U+610E                         # G, H, J, KP, K, -, T, -, V, II
U+610F                         # G, H, J, KP, K, -, T, -, V, II
U+6115                         # G, H, J, KP, K, -, T, -, V, II
U+611A                         # G, H, J, KP, K, -, T, -, V, II
U+611B                         # G, H, J, KP, K, -, T, -, -, II
U+611F                         # G, H, J, KP, K, -, T, -, V, II
U+6121                         # G, -, J, KP, K, -, T, -, -, --
U+6127                         # G, H, J, KP, K, -, T, -, -, II
U+6128                         # G, H, J, KP, K, -, T, -, -, --
U+612C                         # G, H, J, KP, K, -, T, -, -, --
U+6134                         # G, H, J, KP, K, -, T, -, -, II
U+613C                         # G, -, J, KP, K, -, T, -, -, II
U+613E                         # G, H, J, KP, K, -, T, -, -, II
U+613F                         # G, H, J, KP, K, -, T, -, V, II
U+6142                         # G, H, J, KP, K, -, T, -, -, II
U+6144                         # G, H, J, KP, K, -, T, -, V, II
U+6147                         # G, H, J, KP, K, -, T, -, V, II
U+6148                         # G, H, J, KP, K, -, T, -, V, II
U+614A                         # G, H, J, KP, K, -, T, -, -, II
U+614B                         # G, H, J, KP, K, -, T, -, V, II
U+614C                         # G, H, J, KP, K, -, T, -, V, II
U+614D                         # G, H, J, KP, K, -, T, -, -, II
U+6155                         # G, H, J, KP, K, -, T, -, V, II
U+6159                         # G, H, J, KP, K, -, T, -, -, II
U+615D                         # G, H, J, KP, K, -, T, -, -, II
U+615F                         # G, H, J, KP, K, -, T, -, V, II
U+6162                         # G, H, J, KP, K, -, T, -, V, II
U+6163                         # G, H, J, KP, K, -, T, -, V, II
U+6165                         # G, H, J, KP, K, -, T, -, -, --
U+6167                         # G, H, J, KP, K, -, T, -, V, II
U+6168                         # G, H, J, KP, K, -, T, -, V, II
U+616B                         # G, H, J, KP, K, -, T, -, V, II
U+616E                         # G, H, J, KP, K, -, T, -, V, II
U+616F                         # G, H, J, KP, K, -, T, -, -, --
U+6170                         # G, H, J, KP, K, -, T, -, V, II
U+6171                         # G, H, J, KP, K, -, T, -, -, --
U+6173                         # G, H, J, KP, K, -, T, -, V, II
U+6174                         # G, H, J, KP, K, -, T, -, -, --
